"CG_nb" "chr" "start" "end" "meth_F" "meth_R" "meth_avg" "meth_sd"
"1" 16 "chr16" 68771143 68771144 NA 23.22 23.22 NA
"2" 15 "chr16" 68771138 68771139 NA 0 0 NA
"3" 14 "chr16" 68771112 68771113 NA 0 0 NA
"4" 13 "chr16" 68771092 68771093 NA 0 0 NA
"5" 12 "chr16" 68771090 68771091 NA 0 0 NA
"6" 11 "chr16" 68771073 68771074 NA 0 0 NA
"7" 10 "chr16" 68771064 68771065 NA 3.4 3.4 NA
"8" 9 "chr16" 68771059 68771060 NA 0 0 NA
"9" 8 "chr16" 68771051 68771052 NA 1.4 1.4 NA
"10" 7 "chr16" 68771045 68771046 NA 0 0 NA
"11" 6 "chr16" 68771037 68771038 NA 1.33 1.33 NA
"12" 5 "chr16" 68771035 68771036 NA 13.16 13.16 NA
