"CG_nb" "chr" "start" "end" "meth_F" "meth_R" "meth_avg" "meth_sd"
"1" 17 "chr16" 68771150 68771151 NA 100 100 NA
"2" 16 "chr16" 68771143 68771144 NA 100 100 NA
"3" 15 "chr16" 68771138 68771139 NA 100 100 NA
"4" 14 "chr16" 68771112 68771113 NA 99.63 99.63 NA
"5" 13 "chr16" 68771092 68771093 NA 100 100 NA
"6" 12 "chr16" 68771090 68771091 NA 97.52 97.52 NA
"7" 11 "chr16" 68771073 68771074 NA 77.22 77.22 NA
"8" 10 "chr16" 68771064 68771065 NA 95.72 95.72 NA
"9" 9 "chr16" 68771059 68771060 NA 100 100 NA
"10" 8 "chr16" 68771051 68771052 NA 83.35 83.35 NA
"11" 7 "chr16" 68771045 68771046 NA 100 100 NA
"12" 6 "chr16" 68771037 68771038 NA 100 100 NA
"13" 5 "chr16" 68771035 68771036 NA 81.43 81.43 NA
